id	verdict	location	evidence
code-style-017	DEDUPED	.claude/standards/surveywts-conventions.md:126	"Internal validators (`.validate_*()`) | `invisible(TRUE)` on success"
code-style-018	MOVED	.claude/standards/code-style.md:17	"Error structure | `\"x\"` + `\"i\"` + optional `\"v\"` bullets; `class=` on every `cli_abort()` |"
code-style-019	PRESERVED	.claude/rules/core.md:39-40	"`class=` is required on every `cli_abort()` and every `cli_warn()` call — no exceptions."
code-style-020	MOVED	.claude/standards/code-style.md:18	"Message language | Declarative for `\"x\"`/`\"i\"` bullets; imperative for `\"v\"` bullet |"
code-style-021	DEDUPED	.claude/standards/r-package-conventions.md:126	"Call all external package functions with `::`. No `@importFrom` in any source file."
code-style-022	DEDUPED	.claude/standards/r-package-conventions.md:14	"NAMESPACE edits | Never manual — 100% generated by `devtools::document()` |"
code-style-023	DEDUPED	.claude/standards/r-package-conventions.md:15	"`R CMD check` | 0 errors, 0 warnings, ≤2 pre-approved notes |"
code-style-024	DELETED		Approved under A1 (13.1): "2 spaces per indent level. No tabs."
code-style-025	DELETED		Approved under A1 (13.1): "2 spaces per indent level. No tabs."
code-style-026	DELETED		Approved under A1 (13.1) — the illustrative "Correct" code example existed solely to demonstrate the deleted indentation rule; no trace of `.check_input_class <- function(data) {...invisible(TRUE)}` remains anywhere in the search surface
code-style-027	DELETED		Approved under A1 (13.1) — the illustrative "Wrong" example (4-space indent) existed solely to demonstrate the deleted indentation rule; "4-space indent" is not found anywhere in the search surface
code-style-028	DELETED		Approved under A2 (13.1): "80 characters maximum." — the full topic sentence ("**80 characters** maximum. Enforced by `air`.") is gone; only the illustrative wrapping examples remain
code-style-029	MOVED	.claude/standards/code-style.md:25	"For long function signatures, break after the opening `(` and align arguments:"
code-style-030	MOVED	.claude/standards/code-style.md:27-36	"as_survey <- function( data, ids = NULL, probs = NULL, weights = NULL, strata = NULL, fpc = NULL, nest = FALSE ) {" (verbatim)
code-style-031	MOVED	.claude/standards/code-style.md:38-39	"# Also good for short signatures — keep on one line if under 80 chars / set_var_label <- function(x, var, label) {"
code-style-032	MOVED	.claude/standards/code-style.md:42	"**`@examples` blocks:** `air` does not format roxygen2 comments."
code-style-033	MOVED	.claude/standards/code-style.md:43-45	"Wrap function calls manually when the `#' result <- fn(...)` line exceeds 80 characters — break after the opening `(`, one argument per line, closing `)` on its own line"
code-style-034	MOVED	.claude/standards/code-style.md:47-48	"#' result <- ipw(nps, ref, selection = ~age + sex)"
code-style-035	MOVED	.claude/standards/code-style.md:50-56	"#' result <- ipw( #'   npors_2025_ipw, #'   acs_ipw_ref, #'   selection = ~gender + age_group + race_ethn + educ, #'   missing_method = \"omit\" #' )" (verbatim)
code-style-036	MOVED	.claude/standards/code-style.md:59	"For long `cli_abort()` calls, break the named vector across lines:"
code-style-037	MOVED	.claude/standards/code-style.md:61-68	cli::cli_abort() named-vector example (verbatim, incl. `surveywts_error_weights_not_numeric`)
code-style-038	MOVED	.claude/standards/code-style.md:72	"Use **`air`** (Posit's R formatter) for all formatting. Run on save or before committing."
code-style-039	MOVED	.claude/standards/code-style.md:72	"Run on save or before committing." (same sentence as above)
code-style-040	DELETED		Approved under A5 (13.1): "the `air` install command"; `pak::pak("posit-dev/air")` does not appear anywhere in the search surface
code-style-041	MOVED	.claude/standards/code-style.md:74	"Do not manually adjust spacing after running `air`." — spec 5.1 explicitly says this line is "Not proposed for deletion... It moves to `standards/code-style.md`."
code-style-042	MOVED	.claude/standards/code-style.md:74	"If `air` output looks wrong, there's a syntax problem — don't work around it."
code-style-043	MOVED	.claude/standards/code-style.md:77	"**Native `\|>` only.**"
code-style-044	MOVED	.claude/standards/code-style.md:77	"`%>%` is never used."
code-style-045	DELETED		Approved under 13.1: "A3... reducing... to one-line rules — their EXAMPLES are approved-deleted"; the `survey_obj |> set_var_label(...)` code block is gone
code-style-046	DELETED		Approved under 13.1: A3 examples approved-deleted; the `survey_obj %>% set_var_label(...)` code block is gone
code-style-047	MOVED	.claude/standards/code-style.md:80	"**`<-`** for all assignments."
code-style-048	MOVED	.claude/standards/code-style.md:80	"`=` is reserved for function arguments only."
code-style-049	DELETED		Approved under 13.1: "A4... reducing... to one-line rules — their EXAMPLES are approved-deleted"; the `weights_var <- names(weights_cols); design <- survey_taylor(...)` code block is gone (only the "Wrong" example survives, as an inline sentence — see code-style-050)
code-style-050	MOVED	.claude/standards/code-style.md:81	"Wrong: `weights_var = names(weights_cols)`." — reformatted from a fenced code block to an inline sentence, meaning unchanged
code-style-051	MOVED	.claude/standards/code-style.md:89	"Use **`@` directly** everywhere in internal code to access properties of surveycore S7 objects."
code-style-052	MOVED	.claude/standards/code-style.md:92-95	property-access code example (verbatim: `wt_vec <- data@data[[data@variables$weights]]` etc.)
code-style-053	MOVED	.claude/standards/code-style.md:97-99	"meta@weighting_history <- c(history, list(new_entry)); data@metadata <- meta" (verbatim)
code-style-054	MOVED	.claude/standards/code-style.md:104-105	"Print methods for `survey_nonprob` and `survey_replicate` live in `R/methods-print.R`."
code-style-055	MOVED	.claude/standards/code-style.md:105-107	"They register through `S7::methods_register()`, called from `.onLoad()` in `R/zzz.R`..."
code-style-056	MOVED	.claude/standards/code-style.md:107-109	"When you add a new print method, add it to `methods-print.R`. Confirm `.onLoad()` still calls `S7::methods_register()`."
code-style-057	MOVED	.claude/standards/code-style.md:112	"Always use **`S7::S7_inherits(x, ClassName)`** with the class object — never a string."
code-style-058	MOVED	.claude/standards/code-style.md:112	"— never a string." (same line)
code-style-059	MOVED	.claude/standards/code-style.md:115-121	"# Correct — fully qualified when the class comes from surveycore / if (!S7::S7_inherits(data, surveycore::survey_base)) {...}" (verbatim)
code-style-060	MOVED	.claude/standards/code-style.md:123-127	"# Also correct — bare name resolves at runtime..." (verbatim)
code-style-061	MOVED	.claude/standards/code-style.md:129-132	"# Wrong — string; rename silently breaks the check / if (!inherits(data, \"survey_taylor\")) {...}" (verbatim)
code-style-062	MOVED	.claude/standards/code-style.md:135-137	"Base `inherits()` is still correct for classes that are genuinely S3 — for example `inherits(formula, \"formula\")` in `.validate_formula()`."
code-style-063	MOVED	.claude/standards/code-style.md:136-137	"Use it only for S3 classes"
code-style-064	MOVED	.claude/standards/code-style.md:137	"never for a surveycore class."
code-style-065	MOVED	.claude/standards/code-style.md:141-142	"Every weighting function in surveywts requires a `survey_base` object — `survey_nonprob`, `survey_taylor`, or `survey_replicate`."
code-style-066	MOVED	.claude/standards/code-style.md:142-143	"Plain data frames and tibbles are not accepted."
code-style-067	MOVED	.claude/standards/code-style.md:145-146	"Each family gates its input with its own validator, called before any other validation."
code-style-068	MOVED	.claude/standards/code-style.md:146	"Use the one that belongs to the family you are working in"
code-style-069	MOVED	.claude/standards/code-style.md:150	"Calibration, nonresponse | `.check_input_class()` | `utils.R`"
code-style-070	MOVED	.claude/standards/code-style.md:151	"Utilities (`trim_weights()`, `rescale_weights()`) | `.check_weight_utils_class()` | `weight-utils.R`"
code-style-071	MOVED	.claude/standards/code-style.md:152	"Replicate weights | `.validate_replicate_input()` | `replicate-utils.R`"
code-style-072	MOVED	.claude/standards/code-style.md:153	"Diagnostics | `.diag_validate_input()` | `diagnostics-utils.R`"
code-style-073	MOVED	.claude/standards/code-style.md:156-157	"# First statement in a calibration or nonresponse function / .check_input_class(data)"
code-style-074	MOVED	.claude/standards/code-style.md:160	"`.check_input_class()` throws `surveywts_error_not_survey_base`."
code-style-075	MOVED	.claude/standards/code-style.md:160-162	"The other three gates accept narrower sets and throw their own classes — read the helper before assuming which classes it lets through."
code-style-076	MOVED	.claude/standards/code-style.md:162-165	"`calibrate()` and `as_taylor_design()` call no gate directly: `calibrate()` forwards to a dispatched function that gates, and `as_taylor_design()` does its own class check inline."
code-style-077	MOVED	.claude/standards/code-style.md:162-165	same merged sentence as above, covers `as_taylor_design()`
code-style-078	MOVED	.claude/standards/code-style.md:167-169	"After that gate passes, branch only where the classes genuinely behave differently — for example when replicate weight columns need the same treatment as the full-sample weight:"
code-style-079	MOVED	.claude/standards/code-style.md:172-173	"if (S7::S7_inherits(data, surveycore::survey_replicate)) { # Apply the method to @variables$repweights as well as the main weight" (verbatim)
code-style-080	MOVED	.claude/standards/code-style.md:174-176	"} else if (S7::S7_inherits(data, surveycore::survey_nonprob)) { # survey_nonprob-specific path (e.g., reading @calibration provenance) }" (verbatim)
code-style-081	MOVED	.claude/standards/code-style.md:179	"Test for the specific class, not for `is.data.frame()`."
code-style-082	MOVED	.claude/standards/code-style.md:179	"not for `is.data.frame()`." (same line)
code-style-083	MOVED	.claude/standards/code-style.md:179-180	"A survey object holds its data in `@data`; the object itself is not a data frame."
code-style-084	MOVED	.claude/standards/code-style.md:182-183	"**History entry construction.** Do not assemble or append history entries by hand. The requirement is in `core.md` §2."
code-style-085	DEDUPED	.claude/rules/core.md:9-13,25-26; .claude/standards/surveywts-conventions.md:120	TORN between DEDUPED and ALTERED: core.md §2 states "Every adjustment appends an entry to `@metadata@weighting_history`, built by `.make_history_entry()` and written by `.update_survey_weights()`."; core.md §1 states "Every weighting function either overwrites the existing weight column in place... or writes a new column..."; surveywts-conventions.md:120 states the visible/same-class return guarantee. The single original sentence naming `.update_survey_weights()` as doing all three things at once (append history, update weight column, return same class) is no longer stated as one contiguous claim — it is reconstructable only by combining three separate citations. Chose DEDUPED (not ALTERED, since nothing contradicts; not LOST, since every component is independently findable and still tied to the same helper name).
code-style-086	MOVED	.claude/standards/code-style.md:186-195	`.make_history_entry(step = ..., operation = "raking", ...)` call example (verbatim)
code-style-087	MOVED	.claude/standards/code-style.md:197-202	`.update_survey_weights(design = data, ...)` call example (verbatim)
code-style-088	PRESERVED	.claude/rules/core.md:30	"`wt_name = NULL` overwrites the existing weight column in place."
code-style-089	PRESERVED	.claude/rules/core.md:30-31	"A non-NULL `wt_name` writes a new column and updates `@variables$weights`"
code-style-090	PRESERVED	.claude/rules/core.md:31-33	"if that name collides with an existing non-weight column, it throws `surveywts_error_wt_name_conflict`."
code-style-091	MOVED	.claude/standards/code-style.md:212	"Standard three-bullet structure:"
code-style-092	MOVED	.claude/standards/code-style.md:217	"\"x\" = \"What went wrong (declarative).\"      # Always present"
code-style-093	MOVED	.claude/standards/code-style.md:218	"\"i\" = \"Context or diagnosis.\"                # Usually present"
code-style-094	MOVED	.claude/standards/code-style.md:219	"\"v\" = \"How to fix it (imperative).\"           # When fixable"
code-style-095	MOVED	.claude/standards/code-style.md:221	"class = \"surveywts_error_{condition}\"          # ALWAYS required"
code-style-096	MOVED	.claude/standards/code-style.md:225	"`\"x\"` — What is wrong. Subject is the object/argument, not the user. Active voice."
code-style-097	MOVED	.claude/standards/code-style.md:226	"`\"i\"` — Why, or what was found. Provide actual values with `{.val}` / `{.field}` / `{.cls}`."
code-style-098	MOVED	.claude/standards/code-style.md:227	"`\"v\"` — The fix. Imperative: `\"Use {.fn as.numeric}...\"`. Only include when actionable."
code-style-099	MOVED	.claude/standards/code-style.md:230-238	"# Good / cli::cli_abort(... class = \"surveywts_error_weights_na\")" (verbatim)
code-style-100	MOVED	.claude/standards/code-style.md:240-241	"# Bad — no class, no context / cli::cli_abort(\"weights have NAs\")"
code-style-101	MOVED	.claude/standards/code-style.md:245	"Same structure and same `class=` requirement:"
code-style-102	MOVED	.claude/standards/code-style.md:250	"\"!\" = \"What triggered the warning.\""
code-style-103	MOVED	.claude/standards/code-style.md:251	"\"i\" = \"Why this matters.\""
code-style-104	MOVED	.claude/standards/code-style.md:252	"\"i\" = \"What to do if this is unexpected.\""
code-style-105	MOVED	.claude/standards/code-style.md:254	"class = \"surveywts_warning_{condition}\"    # ALWAYS required"
code-style-106	PRESERVED	.claude/rules/core.md:39-40	"`class=` is required on every `cli_abort()` and every `cli_warn()` call — no exceptions."
code-style-107	MOVED	.claude/standards/code-style.md:262	"The canonical list of all classes is in `plans/error-messages.md`."
code-style-108	MOVED	.claude/standards/code-style.md:264	"1. Add a row to `plans/error-messages.md` first"
code-style-109	MOVED	.claude/standards/code-style.md:265	"2. Use the class name from that table in the code"
code-style-110	MOVED	.claude/standards/code-style.md:266	"3. Add a matching `expect_error(class = ...)` test" (was "corresponding", now "matching" — same meaning)
code-style-111	PRESERVED	.claude/rules/core.md:37	"Error classes: `surveywts_error_{snake_case_condition}`"
code-style-112	PRESERVED	.claude/rules/core.md:38	"Warning classes: `surveywts_warning_{snake_case_condition}`"
code-style-113	MOVED	.claude/standards/code-style.md:270	"\"surveywts_error_not_survey_base\""
code-style-114	MOVED	.claude/standards/code-style.md:271	"\"surveywts_error_weights_nonpositive\""
code-style-115	MOVED	.claude/standards/code-style.md:272	"\"surveywts_error_calibration_not_converged\""
code-style-116	MOVED	.claude/standards/code-style.md:275	"\"surveywts_warning_no_weights_trimmed\""
code-style-117	MOVED	.claude/standards/code-style.md:276	"\"surveywts_warning_class_near_empty\""
code-style-118	MOVED	.claude/standards/code-style.md:277	"\"surveywts_warning_negative_calibrated_weights\""
code-style-119	MOVED	.claude/standards/code-style.md:281	"Use the appropriate markup type consistently:"
code-style-120	MOVED	.claude/standards/code-style.md:285	"Function argument | `{.arg weights}` | `weights`"
code-style-121	MOVED	.claude/standards/code-style.md:286	"Column / variable name | `{.field {var}}` | `var`"
code-style-122	MOVED	.claude/standards/code-style.md:287	"Function name | `{.fn as_survey}` | `as_survey()`"
code-style-123	MOVED	.claude/standards/code-style.md:288	"Code snippet | `{.code nest = TRUE}` | `nest = TRUE`"
code-style-124	MOVED	.claude/standards/code-style.md:289	"A value | `{.val \"brr\"}` | `\"brr\"`"
code-style-125	MOVED	.claude/standards/code-style.md:290	"A class name | `{.cls survey_taylor}` | `<survey_taylor>`"
code-style-126	MOVED	.claude/standards/code-style.md:293	"**`\"x\"` bullets** — declarative, object as subject: `\"Weight column {.field wt} is not numeric.\"`"
code-style-127	MOVED	.claude/standards/code-style.md:294	"**`\"i\"` bullets** — declarative, system as subject: `\"Got class {.cls {class(wt_col)}}.\"`"
code-style-128	MOVED	.claude/standards/code-style.md:295	"**`\"v\"` bullets** — imperative: `\"Use {.fn as.numeric} to convert.\"` or `\"Set {.arg fpc = NULL} to skip FPC.\"`"
code-style-129	MOVED	.claude/standards/code-style.md:296	"Never `\"You must...\"` or `\"You provided...\"` — the user is never addressed directly"
code-style-130	MOVED	.claude/standards/code-style.md:298	"For the full inline markup reference (50+ classes, pluralization, progress bars, theming), see the `cli` skill in `.claude/skills/cli/`."
code-style-131	DEDUPED	.claude/standards/surveywts-conventions.md:120,42	"Calibration / nonresponse functions | Visible (updated object, same class as input)" (120); "calibration | calibrate(), calibrate_linear(), calibrate_logit(), calibrate_rake(), poststratify()" (42) — general rule and named functions now in two adjacent tables in the same survivor file rather than one row
code-style-132	DEDUPED	.claude/standards/surveywts-conventions.md:120,44	same general rule (120) plus "nonresponse | adjust_nonresponse(), redistribute_weights()" (44)
code-style-133	MOVED	.claude/standards/surveywts-conventions.md:121	"Utility functions (`trim_weights()`, `rescale_weights()`) | Visible (updated object, same class as input)" — full fidelity, both names retained in one row
code-style-134	DEDUPED	.claude/standards/surveywts-conventions.md:123,45	"Diagnostic functions | Visible (named scalar or tibble)" (123); "diagnostics | effective_sample_size(), weight_variability(), summarize_weights()" (45)
code-style-135	MOVED	.claude/standards/surveywts-conventions.md:122	"`ipw()` — always returns `survey_nonprob` regardless of input class | Visible (`survey_nonprob`)"
code-style-136	MOVED	.claude/standards/surveywts-conventions.md:18	"Print method return | `invisible(x)` | `S7::method(print, surveycore::survey_nonprob)`, `S7::method(print, surveycore::survey_replicate)`" — full fidelity, both classes named
code-style-137	MOVED	.claude/standards/code-style.md:306-307	"`surveywts-conventions.md` §4 has the full table (`.validate_weights()`, `.validate_wt_name()`, etc.)." — both function names retained
code-style-138	MOVED	.claude/standards/surveywts-conventions.md:16,124	"Internal constructor return | Visible (the new object) | `.make_history_entry()`" (16); "Internal constructors (`.make_*()`) | Visible (the new object)" (124)
code-style-139	MOVED	.claude/standards/code-style.md:310-314	"trim_weights <- function(data, weights = NULL, lower = NULL, upper = NULL, ...) {... result  # visible — no invisible() }" (verbatim)
code-style-140	MOVED	.claude/standards/code-style.md:316-320	"effective_sample_size <- function(x, weights = NULL) {... ess  # visible }" (verbatim)
code-style-141	MOVED	.claude/standards/code-style.md:322	"# Internal validator — invisible(TRUE) on success, cli_abort() on failure"
code-style-142	MOVED	.claude/standards/code-style.md:323-331	".validate_wt_name <- function(wt_name) {...invisible(TRUE) }" (verbatim)
code-style-143	MOVED	.claude/standards/code-style.md:335	"**Required before optional. Object/data always first. NSE/tidy-select before scalar. `...` last.**" (four old one-line bullets merged into one sentence, meaning unchanged)
code-style-144	MOVED	.claude/standards/code-style.md:335	same merged sentence, "Object/data always first"
code-style-145	MOVED	.claude/standards/code-style.md:335	same merged sentence, "NSE/tidy-select before scalar"
code-style-146	MOVED	.claude/standards/code-style.md:335	same merged sentence, "`...` last"
code-style-147	MOVED	.claude/standards/code-style.md:338	"1. `x` / `data` — the survey object (always mandatory, always first)"
code-style-148	MOVED	.claude/standards/code-style.md:339	"2. Required NSE/tidy-select arguments (bare names the user must provide)"
code-style-149	MOVED	.claude/standards/code-style.md:340	"3. Required scalar arguments (non-NSE arguments with no default)"
code-style-150	MOVED	.claude/standards/code-style.md:341	"4. Optional NSE/tidy-select arguments (`ids = NULL`, `weights = NULL`, etc.)"
code-style-151	MOVED	.claude/standards/code-style.md:342	"5. Optional scalar control arguments (`nest = FALSE`, `mse = TRUE`, `validate = TRUE`)"
code-style-152	MOVED	.claude/standards/code-style.md:343	"6. `...`"
code-style-153	DEDUPED	.claude/standards/surveywts-conventions.md:220	The intro comment ("# ipw: data (1), reference (2, required)...") is gone, but the same ordering is directly readable from the full retained `ipw()` signature at surveywts-conventions.md:220
code-style-154	DEDUPED	.claude/standards/surveywts-conventions.md:220	"`ipw()` | `data, reference, selection = NULL, predictors = NULL, missing_method = c(\"omit\", \"separate\", \"impute\"), mice_args = list(), method = \"logit\", estimating_eq = c(\"gee\", \"mle\"), maxit = 25L, epsilon = 1e-8, adjust_reference = TRUE, trim = FALSE, population_size = NULL, wt_name = \"ipw_weight\"`" — full signature intact
code-style-155	DEDUPED	.claude/standards/surveywts-conventions.md:208	The intro comment ("# calibrate_rake: data (1), targets (2, required)...") is gone, but the same ordering is directly readable from the full retained `calibrate_rake()` signature at surveywts-conventions.md:208
code-style-156	DEDUPED	.claude/standards/surveywts-conventions.md:208	"`calibrate_rake()` | `data, targets, weights = NULL, wt_name = NULL, type = c(\"prop\", \"count\"), algorithm = c(\"classic_ipf\", \"nr\"), cap = NULL, control = list(), reference_design = NULL`" — full signature intact
code-style-157	MOVED	.claude/standards/code-style.md:348-350	"See `core.md` §3 for the `wt_name = NULL` rule. The one exception: `ipw()` defaults to a new column named `\"ipw_weight\"` instead of overwriting in place."
code-style-158	MOVED	.claude/standards/code-style.md:349-350	"The one exception: `ipw()` defaults to a new column named `\"ipw_weight\"` instead of overwriting in place."
code-style-159	PRESERVED	.claude/rules/core.md:30	"`wt_name = NULL` overwrites the existing weight column in place."
code-style-160	MOVED	.claude/standards/code-style.md:354	"surveywts functions are plain R functions — not S7 generics, not S3 generics."
code-style-161	MOVED	.claude/standards/code-style.md:354-355	"Type dispatch is always explicit via `S7::S7_inherits()` or `inherits()`."
code-style-162	MOVED	.claude/standards/code-style.md:359	"Type checking a surveycore S7 object | `S7::S7_inherits(x, surveycore::survey_nonprob)`"
code-style-163	MOVED	.claude/standards/code-style.md:360	"Type checking a genuinely S3 class (e.g. `formula`) | `inherits(x, \"formula\")`"
code-style-164	MOVED	.claude/standards/code-style.md:361	"Registering a print method for a surveycore class | `S7::method(print, surveycore::survey_nonprob) <- function(x, ...) { }` in `methods-print.R`"
code-style-165	MOVED	.claude/standards/code-style.md:363	"Never use `UseMethod()` in surveywts — S3 dispatch does not work for S7 objects."
code-style-166	DEDUPED	.claude/standards/surveywts-conventions.md:58	"The exported function appears at the **top** of its file; helpers used only by that function appear **below** it."
code-style-167	DEDUPED	.claude/standards/surveywts-conventions.md:59	"Helpers shared by 2+ functions in the same family go to `{family}-utils.R`."
code-style-168	DEDUPED	.claude/standards/surveywts-conventions.md:60	"Helpers used across different families stay in `utils.R`."
code-style-169	MOVED	.claude/standards/code-style.md:370	"All internal helpers are **not exported**"
code-style-170	MOVED	.claude/standards/code-style.md:370	"and prefixed with `.`."
code-style-171	MOVED	.claude/standards/code-style.md:377	"Terse (one sentence) for self-evident arguments."
code-style-172	MOVED	.claude/standards/code-style.md:378-379	"Fuller for arguments with non-obvious behavior, constraints, interactions, or where `NULL` has a non-obvious effect."
code-style-173	DEDUPED	.claude/standards/function-documentation.md:97	"Use `@returns` (not `@return`) on every exported function."
code-style-174	DEDUPED	.claude/standards/function-documentation.md:203	"Every other example must run successfully during `R CMD check`."
code-style-175	DEDUPED	.claude/standards/function-documentation.md:201-202	"Do not use `\dontrun{}` except for examples that genuinely require external resources (e.g., a live database connection or network call)."
code-style-176	DEDUPED	.claude/standards/surveywts-conventions.md:50	"Use `@family calibration`, `@family sample-calibration`, `@family nonresponse`, `@family diagnostics`, `@family replicate-weights`, `@family utilities`, `@family propensity` in roxygen2."
code-style-177	DEDUPED	.claude/standards/function-documentation.md:262	"Obvious one-liner | No roxygen at all"
code-style-178	DEDUPED	.claude/standards/function-documentation.md:263	"Complex enough to need explanation | `@keywords internal` + `@noRd`"
code-style-179	DEDUPED	.claude/standards/r-package-conventions.md:11,126	"Import style | `::` everywhere; no `@importFrom` |" (11); "Call all external package functions with `::`." (126)
code-style-180	DEDUPED	.claude/standards/r-package-conventions.md:126	"No `@importFrom` in any source file."
code-style-181	MOVED	.claude/standards/code-style.md:394-396	"**No exception applies today.** surveywts registers no S3 methods, so `NAMESPACE` holds no `S3method()` directives and no source file needs `@importFrom`." (verbatim, survives in code-style.md itself)
code-style-182	MOVED	.claude/standards/code-style.md:396-398	"If surveywts ever registers an S3 method for a generic from another package, `@importFrom` becomes required for that one method, because `roxygen2` cannot generate the `S3method()` directive without it."
code-style-183	MOVED	.claude/standards/code-style.md:398-399	"Until then, an `@importFrom` tag anywhere in `R/` is a mistake."
code-style-184	DEDUPED	.claude/standards/r-package-conventions.md:129-130	"# Correct / result <- rlang::enquo(x)"
code-style-185	DEDUPED	.claude/standards/r-package-conventions.md:134	"result <- enquo(x)           # requires @importFrom rlang enquo"
code-style-186	DEDUPED	.claude/standards/r-package-conventions.md:14	"NAMESPACE edits | Never manual — 100% generated by `devtools::document()` |"
code-style-187	PRESERVED	.claude/rules/core.md:60-61	"Run `devtools::document()` before committing any file with roxygen2 changes."
code-style-188	DEDUPED	.claude/standards/r-package-conventions.md:16-17	"Export policy | User-facing functions + S7 classes only (a package that defines no classes exports only functions) |"; "Re-exports | None — no pipe, no tidyselect helpers |"
code-style-189	MOVED	.claude/standards/code-style.md:14	"surveywts defines no generics and no classes" (within the Dispatch rule quick-ref row)
code-style-190	PRESERVED	.claude/rules/core.md:62	"Run `devtools::check()` before opening a PR."
code-style-191	DEDUPED	.claude/standards/r-package-conventions.md:196	"args: 'c(\"--as-cran\", \"--no-manual\")'"
code-style-192	DEDUPED	.claude/standards/r-package-conventions.md:165-168	"**All PRs must pass with:** - 0 errors - 0 warnings - ≤2 notes (see approved notes below)"
code-style-193	DEDUPED	.claude/standards/r-package-conventions.md:170-172	"### Pre-approved notes / These two notes are acceptable and do not block merging:"
code-style-194	DEDUPED	.claude/standards/r-package-conventions.md:176	"`no visible binding for global variable 'X'` | Tidy-select bare names | Universal in tidy packages"
code-style-195	DEDUPED	.claude/standards/r-package-conventions.md:183	"Do not suppress NSE notes with `utils::globalVariables()`."
code-style-196	DEDUPED	.claude/standards/r-package-conventions.md:177	"`checking CRAN incoming feasibility` | Package not on CRAN yet | Informational only"
code-style-197	DEDUPED	.claude/standards/r-package-conventions.md:220-221	"cli (>= 3.6.0),        # cli_abort() with class= argument / rlang (>= 1.1.0),      # rlang::check_required()"
code-style-198	DEDUPED	.claude/standards/r-package-conventions.md:227	"Do NOT use exact version pins (`==`). They are rejected by CRAN and too fragile."
code-style-199	MOVED	.claude/standards/code-style.md:422	"`air` is a **formatter**: it rewrites R files to conform to the style."
code-style-200	MOVED	.claude/standards/code-style.md:422-423	"It is NOT `lintr` (which only reports violations)."
code-style-201	MOVED	.claude/standards/code-style.md:423-424	"When `air` touches a file, the code is correct — do not manually undo its changes."
code-style-202	DELETED		Approved under A5 (13.1): "the `air` install command"; `pak::pak("posit-dev/air")` does not appear anywhere in the search surface
code-style-203	DELETED		Approved under A5 (13.1): "the format-on-save setup for Positron, VS Code"; "Positron" does not appear anywhere in the search surface
code-style-204	DELETED		Approved under A5 (13.1): format-on-save setup; `.vscode/settings.json` does not appear anywhere in the search surface
code-style-205	DELETED		Approved under A5 (13.1): format-on-save setup; "editor.formatOnSave" does not appear anywhere in the search surface
code-style-206	DELETED		Approved under A5 (13.1): format-on-save setup; "Posit.air-vscode" does not appear anywhere in the search surface
code-style-207	DELETED		Approved under A5 (13.1): format-on-save setup narrative
code-style-208	DELETED		Approved under A5 (13.1): format-on-save setup narrative; "air format" auto-reformat claim not found outside the PR-gate sentence (code-style-213)
code-style-209	DELETED		Approved under A5 (13.1): "the format-on-save setup for... RStudio"; "RStudio" does not appear anywhere in the search surface
code-style-210	DELETED		Approved under A5 (13.1): "the manual format commands"; the RStudio addin instructions are gone
code-style-211	DELETED		Approved under A5 (13.1): "the manual format commands"; "# Format the entire package" is gone
code-style-212	DELETED		Approved under A5 (13.1): "the manual format commands"; "air format R/calibrate.R" does not appear anywhere in the search surface
