file	verdict	what	evidence
.claude/standards/code-style.md	DEDUPED	Argument order full `calibrate_rake()` signature code example	surveywts-conventions.md:206 "| `calibrate_rake()` | `data, targets, weights = NULL, wt_name = NULL, type = c(\"prop\", \"count\"), algorithm = c(\"classic_ipf\", \"nr\"), cap = NULL, control = list(), reference_design = NULL` |"
.claude/standards/code-style.md	DEDUPED	"Internal helper placement" table (§4)	surveywts-conventions.md:57-60 "### Rules / 1. Every exported function lives in a `.R` file... 3. Helpers shared by 2+ functions in the same family go to `{family}-utils.R`. 4. Helpers used across different families stay in `utils.R`."
.claude/standards/code-style.md	DEDUPED	Quick Reference row "Internal helper placement"	surveywts-conventions.md:57-60 (same as above)
.claude/standards/code-style.md	DEDUPED	History entry construction lead-in "Build the entry with .make_history_entry(), then write it with .update_survey_weights(), which appends to @metadata@weighting_history, updates the weight column, and returns an object of the same class as the input" (negative clause "Do not assemble... by hand" kept; code shape kept)	core.md:25-26 "Every adjustment appends an entry to `@metadata@weighting_history`, built by `.make_history_entry()` and written by `.update_survey_weights()`."
.claude/standards/code-style.md	DEDUPED	§2 wt_name paragraph "`wt_name = NULL` overwrites the existing weight column in place. A non-NULL `wt_name` writes a new column ... throws surveywts_error_wt_name_conflict"	core.md:30-33 "`wt_name = NULL` overwrites the existing weight column in place. A non-NULL `wt_name` writes a new column and updates `@variables$weights`; if that name collides with an existing non-weight column, it throws `surveywts_error_wt_name_conflict`."
.claude/standards/code-style.md	DEDUPED	§4 wt_name restated portion "`wt_name = NULL` is the default for every weighting function ... NULL means overwrite the existing weight column in place" (ipw() exception and "ipw_weight" literal kept, since core.md does not carry that exception)	core.md:30-33 (same as above)
.claude/standards/code-style.md	DEDUPED	"Error and warning classes" sentence "`class=` is required on every cli_abort() and cli_warn() call — no exceptions"	core.md:39-40 "`class=` is required on every `cli_abort()` and every `cli_warn()` call — no exceptions."
.claude/standards/code-style.md	DEDUPED	"Class naming convention:" bullets (Errors:/Warnings: patterns)	core.md:37-38 "- Error classes: `surveywts_error_{snake_case_condition}` / - Warning classes: `surveywts_warning_{snake_case_condition}`"
.claude/standards/code-style.md	DEDUPED	Quick Reference row "Warning classes"	core.md:39-40 (same as class= requirement)
.claude/standards/github-strategy.md	DELETED	Version/Status header (2 lines)	C2
.claude/standards/github-strategy.md	DELETED	R-CMD-check matrix YAML block (4-line matrix + surrounding fence)	B1
.claude/standards/github-strategy.md	DELETED	Inlined PR template body (markdown fence, 5-line checklist)	B2
.claude/standards/github-strategy.md	DELETED	GitHub merge-settings checkbox list (4 checkboxes) + "Configure in GitHub -> Settings -> Pull Requests:" lead-in	B3
.claude/standards/github-strategy.md	DELETED	Branch-protection checkbox list (5 checkboxes) + subsection heading	B4
.claude/standards/github-strategy.md	DEDUPED	Quick Reference row "Branch naming" (feature/, fix/, hotfix/, docs/, chore/, refactor/)	core.md:51 "- Branch naming: `feature/`, `fix/`, `hotfix/`, `test/`, `docs/`, `chore/`, `refactor/`."
.claude/standards/github-strategy.md	DEDUPED	Quick Reference row "Commit format" (Conventional Commits (feat:, fix:, docs:, test:, chore:))	core.md:53 "All commits use Conventional Commits format: `feat(scope): description`."
.claude/standards/github-strategy.md	DEDUPED	"### Scopes" bare scope list paragraph (calibration, weights, utils, ...)	core.md:54-56 "- Valid scopes: `calibration`, `weights`, `utils`, `validators`, `replicate`, `propensity`, `diagnostics`, `data`, `docs`, `plans`, `pipeline`, `ci`, `description`."
.claude/standards/testing-surveywts.md	DELETED	test_invariants() 26-line function body	B5
.claude/standards/engineering-preferences.md	DELETED	Version/Created/Status header (3 lines)	C2
.claude/standards/surveywts-conventions.md	DEDUPED	code-style §4 return-visibility rows for utilities, ipw(), and the "same class as input" guarantee — survivor table was narrower than the removed copy	surveywts-conventions.md:66-72, table extended in the follow-up commit to carry all three
